,What PostGIS support,Do we have it?,Supportability Category,Blocking Reason
7.1. PostGIS Geometry/Geography/Box Data Types,box2d — The type representing a 2-dimensional bounding box.,Yes,Supported,Current yb_geospatial extension
,box3d — The type representing a 3-dimensional bounding box.,No,Not 2D (3D/4D architectural gap),3d
,geometry — The type representing spatial features with planar coordinate systems.,Yes,Supported,Current yb_geospatial extension
,geometry_dump — A composite type used to describe the parts of complex geometry.,No,,
,geography — The type representing spatial features with geodetic (ellipsoidal) coordinate systems.,Yes,Supported,Current yb_geospatial extension
7.2. Table Management Functions,AddGeometryColumn — Adds a geometry column to an existing table.,No,Obsolete / Unnecessary,Legacy PostGIS catalog (modern PG uses typmods)
,DropGeometryColumn — Removes a geometry column from a spatial table.,No,Obsolete / Unnecessary,Legacy PostGIS catalog (modern PG uses typmods)
,DropGeometryTable — Drops a table and all its references in geometry_columns.,No,Obsolete / Unnecessary,Legacy PostGIS catalog (modern PG uses typmods)
,Find_SRID — Returns the SRID defined for a geometry column.,No,Obsolete / Unnecessary,Legacy PostGIS catalog (modern PG uses typmods)
,Populate_Geometry_Columns — Ensures geometry columns are defined with type modifiers or have appropriate spatial constraints.,No,Obsolete / Unnecessary,Legacy PostGIS catalog (modern PG uses typmods)
,"UpdateGeometrySRID — Updates the SRID of all features in a geometry column, and the table metadata.",No,Obsolete / Unnecessary,Legacy PostGIS catalog (modern PG uses typmods)
7.3. Geometry Constructors,ST_Collect — Creates a GeometryCollection or Multi* geometry from a set of geometries.,No,,
,ST_LineFromMultiPoint — Creates a LineString from a MultiPoint geometry.,No,,
,ST_MakeEnvelope — Creates a rectangular Polygon from minimum and maximum coordinates.,Yes,Supported,Current yb_geospatial extension
,"ST_MakeLine — Creates a LineString from Point, MultiPoint, or LineString geometries.",Yes,Supported,Current yb_geospatial extension
,"ST_MakePoint — Creates a 2D, 3DZ or 4D Point.",Yes,Supported,Current yb_geospatial extension
,"ST_MakePointM — Creates a Point from X, Y and M values.",No,Not 2D (3D/4D architectural gap),OGC M dimension
,ST_MakePolygon — Creates a Polygon from a shell and optional list of holes.,Yes,Supported,Current yb_geospatial extension
,"ST_Point — Creates a Point with X, Y and SRID values.",No,,
,"ST_PointZ — Creates a Point with X, Y, Z and SRID values.",No,Not 2D (3D/4D architectural gap),OGC Z dimension
,"ST_PointM — Creates a Point with X, Y, M and SRID values.",No,Not 2D (3D/4D architectural gap),OGC M dimension
,"ST_PointZM — Creates a Point with X, Y, Z, M and SRID values.",No,Not 2D (3D/4D architectural gap),OGC ZM dimension
,ST_Polygon — Creates a Polygon from a LineString with a specified SRID.,No,,
,ST_TileEnvelope — Creates a rectangular Polygon in Web Mercator (SRID:3857) using the XYZ tile system.,No,,
,ST_HexagonGrid — Returns a set of hexagons and cell indices that completely cover the bounds of the geometry argument.,No,,
,"ST_Hexagon — Returns a single hexagon, using the provided edge size and cell coordinate within the hexagon grid space.",No,,
